epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.332,2.05678,3.67645,1.64785,0.9233,0.11214,0.14961,0.07368,1.77852,2.77454,1.48205,0.00016875,0.00016875,0.00016875
2,22.4611,1.75825,2.17846,1.44766,0.36918,0.38392,0.28231,0.15112,1.7428,2.09632,1.47718,0.000336944,0.000336944,0.000336944
3,32.5161,1.74855,2.00411,1.44824,0.43007,0.40736,0.32293,0.14703,1.85044,2.84479,1.55282,0.000498207,0.000498207,0.000498207
4,42.6054,1.7282,1.80489,1.42951,0.36275,0.39826,0.27245,0.13127,1.9074,3.02851,1.62077,0.000587875,0.000587875,0.000587875
5,52.5276,1.67706,1.68163,1.42592,0.57258,0.3657,0.3897,0.18579,1.85153,2.00465,1.65657,0.0005755,0.0005755,0.0005755
6,62.6296,1.65569,1.58987,1.44351,0.53296,0.4318,0.47087,0.24472,1.74169,1.57055,1.57172,0.000563125,0.000563125,0.000563125
7,72.5829,1.5946,1.44012,1.36311,0.43201,0.44546,0.47557,0.25279,1.72799,1.60832,1.51715,0.00055075,0.00055075,0.00055075
8,82.5152,1.60482,1.43436,1.39038,0.71799,0.51217,0.58159,0.31578,1.67532,1.44668,1.48016,0.000538375,0.000538375,0.000538375
9,92.7932,1.57279,1.36811,1.36251,0.63331,0.47817,0.56637,0.32363,1.6784,1.45478,1.4906,0.000526,0.000526,0.000526
10,103.657,1.52488,1.29397,1.33231,0.69651,0.53389,0.60388,0.33032,1.66018,1.395,1.44654,0.000513625,0.000513625,0.000513625
11,114.696,1.53555,1.27823,1.34285,0.69091,0.56747,0.57238,0.31561,1.66592,1.3422,1.45182,0.00050125,0.00050125,0.00050125
12,124.772,1.43936,1.21894,1.28292,0.64921,0.53311,0.5585,0.30664,1.6349,1.34422,1.43938,0.000488875,0.000488875,0.000488875
13,135.126,1.42846,1.20559,1.28476,0.73045,0.54857,0.5836,0.31918,1.60437,1.27947,1.45168,0.0004765,0.0004765,0.0004765
14,145.077,1.42044,1.15455,1.29065,0.74765,0.54737,0.60787,0.33973,1.6192,1.23029,1.4413,0.000464125,0.000464125,0.000464125
15,155.099,1.41026,1.13233,1.27536,0.79996,0.61124,0.65743,0.37741,1.57632,1.20182,1.40306,0.00045175,0.00045175,0.00045175
16,165.171,1.41721,1.1162,1.26263,0.76739,0.63982,0.66424,0.3846,1.56191,1.17128,1.3966,0.000439375,0.000439375,0.000439375
17,175.608,1.38317,1.05312,1.26245,0.8241,0.56726,0.66961,0.3824,1.52897,1.18935,1.37144,0.000427,0.000427,0.000427
18,185.94,1.35271,1.04305,1.23417,0.74807,0.61388,0.66049,0.3919,1.54304,1.15908,1.36989,0.000414625,0.000414625,0.000414625
19,196.451,1.34327,1.02511,1.22095,0.73564,0.60068,0.66315,0.37272,1.52582,1.15002,1.35351,0.00040225,0.00040225,0.00040225
20,206.818,1.33685,0.99395,1.22358,0.70801,0.62079,0.67612,0.38635,1.53747,1.13836,1.36489,0.000389875,0.000389875,0.000389875
21,217.054,1.30226,0.96087,1.19722,0.80554,0.59424,0.66553,0.38563,1.51816,1.11455,1.34281,0.0003775,0.0003775,0.0003775
22,227.493,1.2959,0.94084,1.18186,0.82668,0.60632,0.6926,0.41202,1.52302,1.07794,1.35327,0.000365125,0.000365125,0.000365125
23,237.745,1.285,0.93385,1.19666,0.84768,0.64054,0.70922,0.43481,1.50675,1.0907,1.34602,0.00035275,0.00035275,0.00035275
24,247.987,1.25529,0.92022,1.17733,0.79303,0.66629,0.70302,0.42136,1.48491,1.06984,1.33616,0.000340375,0.000340375,0.000340375
25,258.348,1.26509,0.92018,1.18281,0.63963,0.65844,0.69576,0.42096,1.48223,1.08583,1.33821,0.000328,0.000328,0.000328
26,268.501,1.22808,0.89057,1.16672,0.77957,0.66907,0.74076,0.45271,1.48968,1.01921,1.33016,0.000315625,0.000315625,0.000315625
27,278.866,1.22986,0.86375,1.14479,0.77551,0.68734,0.7073,0.40751,1.50675,1.03929,1.35621,0.00030325,0.00030325,0.00030325
28,289.239,1.2505,0.84942,1.1602,0.81735,0.67087,0.72089,0.43573,1.44175,1.04496,1.31849,0.000290875,0.000290875,0.000290875
29,300.084,1.18295,0.82234,1.11355,0.72379,0.71885,0.75717,0.4464,1.46055,1.00571,1.33147,0.0002785,0.0002785,0.0002785
