epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,310.405,1.2308,0.84693,1.13278,0.76196,0.7011,0.74933,0.44635,1.48986,1.0017,1.33205,0.000266125,0.000266125,0.000266125
31,320.575,1.21343,0.84808,1.14508,0.87441,0.67395,0.75485,0.44899,1.48066,0.97793,1.31686,0.00025375,0.00025375,0.00025375
32,330.732,1.21303,0.83295,1.1429,0.82549,0.67471,0.73964,0.44035,1.45924,0.98945,1.31823,0.000241375,0.000241375,0.000241375
33,341.139,1.16469,0.79975,1.11346,0.85532,0.66227,0.72291,0.41988,1.48809,0.96973,1.33153,0.000229,0.000229,0.000229
34,351.314,1.16338,0.79051,1.1129,0.86469,0.66063,0.73972,0.42533,1.4479,0.9838,1.30584,0.000216625,0.000216625,0.000216625
35,361.62,1.12186,0.77938,1.09743,0.82264,0.67643,0.72954,0.41782,1.44903,0.98055,1.31215,0.00020425,0.00020425,0.00020425
36,371.854,1.14456,0.77417,1.09857,0.81815,0.70486,0.73197,0.42572,1.49646,1.00209,1.34165,0.000191875,0.000191875,0.000191875
37,382.391,1.12308,0.76502,1.09599,0.83279,0.67534,0.73122,0.43139,1.4455,0.9697,1.32358,0.0001795,0.0001795,0.0001795
38,392.626,1.09275,0.74166,1.09727,0.81753,0.66072,0.74257,0.43817,1.42567,0.93749,1.30012,0.000167125,0.000167125,0.000167125
39,402.885,1.10571,0.74765,1.08419,0.84741,0.67424,0.75411,0.43368,1.42743,0.94774,1.31506,0.00015475,0.00015475,0.00015475
40,413.303,1.07183,0.72357,1.08475,0.70635,0.70119,0.73751,0.42629,1.42569,0.94584,1.31308,0.000142375,0.000142375,0.000142375
41,467.469,1.06645,0.72172,1.06837,0.84934,0.67711,0.72895,0.42971,1.42565,0.97538,1.31267,0.00013,0.00013,0.00013
42,477.037,1.05729,0.68932,1.04772,0.79678,0.68482,0.72191,0.44408,1.42061,0.96994,1.30284,0.000117625,0.000117625,0.000117625
43,486.758,1.02685,0.66094,1.04471,0.82322,0.66005,0.73081,0.43821,1.41216,0.93426,1.31833,0.00010525,0.00010525,0.00010525
44,496.479,1.01537,0.63526,1.05226,0.81663,0.70048,0.74793,0.44407,1.3998,0.92502,1.31025,9.2875e-05,9.2875e-05,9.2875e-05
45,506.654,1.02423,0.65774,1.05697,0.85023,0.69832,0.75556,0.45512,1.39199,0.91434,1.30211,8.05e-05,8.05e-05,8.05e-05
46,516.625,0.99772,0.625,1.03032,0.86682,0.66369,0.75871,0.46006,1.40143,0.90293,1.30839,6.8125e-05,6.8125e-05,6.8125e-05
47,526.577,0.979,0.61544,1.0176,0.86847,0.70788,0.76631,0.46305,1.39414,0.9094,1.30184,5.575e-05,5.575e-05,5.575e-05
48,536.758,0.99035,0.6119,1.02531,0.87388,0.7103,0.76728,0.45926,1.40716,0.92628,1.307,4.3375e-05,4.3375e-05,4.3375e-05
49,547.189,0.98407,0.60046,1.02624,0.83742,0.72521,0.76479,0.46237,1.40004,0.92528,1.30261,3.1e-05,3.1e-05,3.1e-05
50,557.185,0.97246,0.60764,1.0246,0.83334,0.71489,0.75687,0.46163,1.38862,0.92345,1.29655,1.8625e-05,1.8625e-05,1.8625e-05
