epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59584,2.13723,4.47093,1.68349,0.01222,0.19711,0.02714,0.01687,1.74777,4.1804,1.46991,0.00016875,0.00016875,0.00016875
2,14.119,1.93594,4.10186,1.48741,0.01083,0.29716,0.05448,0.03644,1.75263,4.02211,1.40676,0.000336944,0.000336944,0.000336944
3,20.3541,1.93363,3.76514,1.47858,0.70987,0.03762,0.07109,0.03958,1.74648,3.63384,1.41895,0.000498207,0.000498207,0.000498207
4,26.4707,1.87126,3.42971,1.44971,0.89154,0.07779,0.12202,0.07463,1.73191,3.14732,1.41882,0.000587875,0.000587875,0.000587875
5,32.658,1.85245,3.07034,1.46182,0.8022,0.16489,0.16042,0.08742,1.83568,2.57666,1.46913,0.0005755,0.0005755,0.0005755
6,38.6504,1.82326,2.86166,1.44812,0.82254,0.16237,0.18234,0.0859,1.85179,2.61924,1.46943,0.000563125,0.000563125,0.000563125
7,44.6557,1.78529,2.60458,1.40012,0.76953,0.18645,0.21366,0.11191,1.77778,2.16355,1.44055,0.00055075,0.00055075,0.00055075
8,50.6992,1.77403,2.38838,1.43866,0.61581,0.24662,0.21615,0.10245,1.7662,2.19056,1.41702,0.000538375,0.000538375,0.000538375
9,56.6483,1.72196,2.26765,1.39478,0.73026,0.23858,0.25962,0.13749,1.71444,2.12119,1.40788,0.000526,0.000526,0.000526
10,62.745,1.67279,2.1611,1.35414,0.59051,0.2855,0.29347,0.15719,1.67427,1.91555,1.38694,0.000513625,0.000513625,0.000513625
11,68.7759,1.67374,2.0048,1.36594,0.58068,0.28016,0.29445,0.13538,1.67678,1.83198,1.36626,0.00050125,0.00050125,0.00050125
12,74.7419,1.60349,2.02184,1.31933,0.58139,0.30449,0.32709,0.16891,1.66276,1.7601,1.37045,0.000488875,0.000488875,0.000488875
