epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.394,1.81263,3.06522,1.49444,0.73398,0.1884,0.22008,0.11373,1.72673,2.78009,1.46347,0.00016875,0.00016875,0.00016875
2,552.761,1.65183,1.86614,1.3941,0.47736,0.32804,0.38279,0.19992,1.7606,1.84184,1.56015,0.000336944,0.000336944,0.000336944
3,819.189,1.70443,1.77734,1.434,0.38009,0.40222,0.33924,0.16598,1.81765,2.29112,1.71909,0.000498207,0.000498207,0.000498207
4,1102.68,1.70791,1.69935,1.43141,0.29476,0.34456,0.30966,0.14647,1.85871,2.78712,1.72827,0.000587875,0.000587875,0.000587875
5,1367.79,1.67407,1.60578,1.43114,0.48981,0.43044,0.42669,0.21068,1.81776,2.38327,1.6588,0.0005755,0.0005755,0.0005755
6,1628.43,1.64621,1.50808,1.43586,0.60982,0.46201,0.49215,0.2653,1.72779,1.80369,1.6703,0.000563125,0.000563125,0.000563125
7,1876.22,1.59535,1.38367,1.38697,0.62742,0.46099,0.4708,0.2429,1.73488,2.1648,1.69286,0.00055075,0.00055075,0.00055075
8,2141.7,1.60988,1.35702,1.4248,0.59925,0.5704,0.53244,0.28475,1.71529,1.57434,1.58085,0.000538375,0.000538375,0.000538375
9,2397.95,1.57775,1.30707,1.40706,0.60995,0.49013,0.52086,0.26801,1.63934,1.53936,1.54712,0.000526,0.000526,0.000526
10,2647.62,1.46638,1.23197,1.3164,0.70662,0.55064,0.58295,0.33512,1.59985,1.41613,1.46225,0.000513625,0.000513625,0.000513625
11,2896.56,1.4637,1.1618,1.3175,0.73568,0.58397,0.635,0.34764,1.61672,1.23003,1.4665,0.00050125,0.00050125,0.00050125
12,3165.57,1.39389,1.12747,1.28308,0.74595,0.61252,0.64931,0.37316,1.60663,1.25839,1.46075,0.000488875,0.000488875,0.000488875
13,3454.95,1.41951,1.11901,1.31042,0.74047,0.60738,0.66124,0.3721,1.60229,1.25757,1.47994,0.0004765,0.0004765,0.0004765
14,3728.95,1.40477,1.09738,1.30459,0.76542,0.60329,0.66283,0.38226,1.57483,1.2113,1.44993,0.000464125,0.000464125,0.000464125
15,3980.58,1.37788,1.06261,1.26904,0.69736,0.60588,0.67306,0.37172,1.55741,1.15822,1.45661,0.00045175,0.00045175,0.00045175
16,4243.14,1.38359,1.05387,1.26486,0.75208,0.62729,0.67667,0.38967,1.54773,1.15333,1.44372,0.000439375,0.000439375,0.000439375
17,4486.06,1.34708,1.01247,1.26766,0.78748,0.61658,0.72442,0.43109,1.49386,1.15517,1.39813,0.000427,0.000427,0.000427
18,4751.39,1.31214,0.97205,1.23488,0.7521,0.62876,0.68664,0.40113,1.55661,1.1513,1.43018,0.000414625,0.000414625,0.000414625
19,4968,1.28659,0.93347,1.20792,0.70733,0.68934,0.71815,0.42069,1.5221,1.11106,1.43206,0.00040225,0.00040225,0.00040225
20,5220.74,1.30326,0.92209,1.23054,0.69829,0.68431,0.71503,0.42371,1.50614,1.06502,1.3896,0.000389875,0.000389875,0.000389875
21,5452.02,1.25219,0.92681,1.20373,0.67248,0.76793,0.73051,0.42579,1.54021,1.07001,1.42106,0.0003775,0.0003775,0.0003775
